,,,,,,,,,,,,,,,Automation Company : 08/10/2020 5:43 PM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Trial balance,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, [ AsOnDate to 03/01/2023 ],,,,,,,,,,,,,,
,,,,,,,,,,,Base,,,,,,,,Transaction,,,,,,,,Local,Base,TransactionLocal
Particulars,Code,Alias,Debit,Credit,Dr (Op bal),Cr (Op bal),Dr (YTD),Cr (YTD),Debits for the period,Credits for the period,Debit (orig),Credit (orig),Dr (Op bal orig) ,Cr (Op bal orig),Dr (YTD orig),Cr (YTD orig),Debits for the period,Credits for the period,Debit (local),Credit (local),Dr (Op bal local),Cr (Op bal local),Dr (YTD local),Cr (YTD local),Debits for the period,Credits for the period,Percentage (%),Percentage (orig),Percentage (local)
HDFC,HDFC,HDFC,,5.42,,,,5.42,6.58,12,,5.42,,,,5.42,6.58,12,,11.54,,,,11.54,0.46,12,0.32,0.32,9.57
ASSETS,1,ASSETS,544.29,,,,544.29,,914.29,370,544.29,,,,544.29,,914.29,370,49.26,,,,49.26,,86.32,37.06,32.14,32.14,40.85
   Current Assets,12,Current Assets,544.29,,,,544.29,,914.29,370,544.29,,,,544.29,,914.29,370,49.26,,,,49.26,,86.32,37.06,32.14,32.14,40.85
      Cash & bank,121,Cash & bank,30.29,,,,30.29,,168.29,138,30.29,,,,30.29,,168.29,138,13.28,,,,13.28,,28.52,15.24,1.79,1.79,11.01
         Bank,121-001,Bank,30.29,,,,30.29,,168.29,138,30.29,,,,30.29,,168.29,138,13.28,,,,13.28,,28.52,15.24,1.79,1.79,11.01
      Accounts Receivable,122,Accounts Receivable,514,,,,514,,746,232,514,,,,514,,746,232,35.98,,,,35.98,,57.8,21.82,30.35,30.35,29.83
         Customer A,122-001,Customer A,514,,,,514,,746,232,514,,,,514,,746,232,35.98,,,,35.98,,57.8,21.82,30.35,30.35,29.83
CONTROL ACCOUNTS,CA,CONTROL ACCOUNTS,,,500,,500,,,,,,10,,10,,,,,,55.5,,55.5,,,,,,
   Opening Balances Control A/C,OBC,Opening Balances Control A/C,,,500,,500,,,,,,10,,10,,,,,,55.5,,55.5,,,,,,
REVENUE,7,REVENUE,,620,,,,620,120,740,,620,,,,620,120,740,,43.4,,,,43.4,8.4,51.8,36.61,36.61,35.99
   SALES,71,SALES,,620,,,,620,120,740,,620,,,,620,120,740,,43.4,,,,43.4,8.4,51.8,36.61,36.61,35.99
      Sales - Computers,071-001,Sales - Computers,,620,,,,620,120,740,,620,,,,620,120,740,,43.4,,,,43.4,8.4,51.8,36.61,36.61,35.99
LIABILITIES,3,LIABILITIES,,306.5,,500,,806.5,132,438.5,,306.5,,10,,316.5,132,438.5,,21.46,,55.5,,76.96,9.24,30.7,18.1,18.1,17.79
   Trade Payable,33,Trade Payable,,306.5,,500,,806.5,132,438.5,,306.5,,10,,316.5,132,438.5,,21.46,,55.5,,76.96,9.24,30.7,18.1,18.1,17.79
      Vendor A,033-001,Vendor A,,,,1500,,1500,,,,,,30,,30,,,,,,166.5,,166.5,,,,,
      Vendor B,033-002,Vendor B,,306.5,1000,,693.5,,132,438.5,,306.5,20,,,286.5,132,438.5,,21.46,111,,89.55,,9.24,30.7,18.1,18.1,17.79
COGS POSTING ACC,COGS POSTING ACC,COGS POSTING ACC,363.42,,,,363.42,,363.42,,363.42,,,,363.42,,363.42,,25.44,,,,25.44,,25.44,,21.46,21.46,21.09
BR COGS ACC INV,BR COGS ACC INV,BR COGS ACC INV,21.25,,,,21.25,,40,18.75,21.25,,,,21.25,,40,18.75,0.79,,,,0.79,,2.1,1.31,1.25,1.25,0.65
FIFO COGS ACC INV,FIFO COGS ACC INV,FIFO COGS ACC INV,31.67,,,,31.67,,40,8.33,31.67,,,,31.67,,40,8.33,1.52,,,,1.52,,2.1,0.58,1.87,1.87,1.26
WA COGS ACC INV,WA COGS ACC INV,WA COGS ACC INV,223.66,,,,223.66,,320,96.34,223.66,,,,223.66,,320,96.34,8.66,,,,8.66,,15.4,6.74,13.21,13.21,7.18
STD RATE COGS ACC INV,STD RATE COGS ACC INV,STD RATE COGS ACC INV,490,,,,490,,730,240,490,,,,490,,730,240,33.6,,,,33.6,,50.4,16.8,28.94,28.94,27.86
SR COGS POSTING ACC,SR COGS POSTING ACC,SR COGS POSTING ACC,,120,,,,120,,120,,120,,,,120,,120,,8.4,,,,8.4,,8.4,7.09,7.09,6.97
EXCESS COGS POSTING ACC,EXCESS COGS POSTING ACC,EXCESS COGS POSTING ACC,,130,,,,130,,130,,130,,,,130,,130,,,,,,,,,7.68,7.68,
VAT ADVANCE PURCHASE,VAT ADVANCE PURCHASE,VAT ADVANCE PURCHASE,,1.5,,,,1.5,,1.5,,1.5,,,,1.5,,1.5,,0.11,,,,0.11,,0.11,0.09,0.09,0.09
PURCHASE VARIANCE,PURCHASE VARIANCE,PURCHASE VARIANCE,,510,,,,510,,510,,510,,,,510,,510,,35.7,,,,35.7,,35.7,30.12,30.12,29.6
VAT INPUT,VAT INPUT,VAT INPUT,19.13,,,,19.13,,20,0.87,19.13,,,,19.13,,20,0.87,1.34,,,,1.34,,1.4,0.06,1.13,1.13,1.11
Grand Total,,,1693.42,1693.42,500,500,2193.42,2193.42,2686.29,2686.29,1693.42,1693.42,10,10,1703.42,1703.42,2686.29,2686.29,120.6,120.6,55.5,55.5,176.1,176.1,201.26,201.26,,,
